idx,frame_idx,time_s,x1,y1,x2,y2,score,label,crop_relpath
0,1,0.000,403,144,465,238,0.8362,0,
1,1,0.000,972,290,1048,398,0.8313,0,
2,1,0.000,491,400,578,535,0.8245,0,
3,1,0.000,82,240,157,344,0.8150,0,
4,1,0.000,666,647,732,720,0.8004,0,
5,1,0.000,978,435,1061,592,0.7859,0,
6,1,0.000,654,213,739,303,0.7800,0,
7,1,0.000,754,153,808,236,0.6312,0,
8,1,0.000,1219,387,1279,513,0.5428,0,
9,61,1.000,618,166,675,240,0.7079,0,
10,61,1.000,888,225,953,317,0.5110,0,
11,61,1.000,1215,231,1278,335,0.3975,0,
12,61,1.000,994,276,1083,377,0.3526,0,
13,121,2.000,297,358,357,462,0.7641,0,
14,121,2.000,484,212,539,292,0.6847,0,
15,121,2.000,695,215,751,303,0.6846,0,
16,121,2.000,837,499,910,633,0.6824,0,
17,121,2.000,1029,431,1127,586,0.6634,0,
18,121,2.000,206,152,265,255,0.5951,0,
19,121,2.000,904,157,969,225,0.5754,0,
